Categoria,Serie,Numero,Luogo,Prov,Premio
1,T,173756,Somaglia,LO,5000000
1,T,378442,Pesaro,PU,2500000
1,G,330068,Palermo,PA,2000000
1,G,173817,Torino,TO,1500000
1,S,185025,Dolo,VE,1000000
2,S,030585,DISTRIBUTORE LOCALE MONTENERO DI BISACCIA ,CB,100000
2,C,439458,AVELLINO ,AV,100000
2,M,217442,MASSAFRA ,TA,100000
2,D,138065,FOLIGNO ,PG,100000
2,M,442388,BELLUNO ,BL,100000
2,Q,330398,FOGGIA ,FG,100000
2,L,320913,ISPICA ,RG,100000
2,D,052288,DISTRIBUTORE LOCALE GREVE IN CHIANTI ,FI,100000
2,I,265285,ROMA ,RM,100000
2,B,431066,SPINEA ,VE,100000
2,B,475642,OMEGNA ,VB,100000
2,I,479949,MONTEPULCIANO ,SI,100000
2,I,336915,IVREA ,TO,100000
2,E,322777,BORGOSESIA ,VC,100000
2,I,336889,VALMADRERA ,LC,100000
2,Q,311109,VIDIGULFO ,PV,100000
2,O,115657,CERVIA ,RA,100000
2,I,459455,SORRENTO ,NA,100000
2,N,336716,RAPOLANO TERME ,SI,100000
2,B,357353,MILANO ,MI,100000
2,F,174624,SOLAROLO ,BO,100000
2,M,051648,DISTRIBUTORE LOCALE BISCEGLIE ,BT,100000
2,I,319235,ROMA ,RM,100000
2,D,381854,LASTRA A SIGNA ,FI,100000
2,I,050919,DISTRIBUTORE LOCALE CIAMPINO ,RM,100000
3,A,151684,DISTRIBUTORE LOCALE SESTO FIORENTINO ,FI,50000
3,C,044674,DISTRIBUTORE LOCALE FROSINONE ,FR,50000
3,T,196683,MILANO ,MI,50000
3,D,474835,CATANIA ,CT,50000
3,AA,244340,RIVENDITORE ONLINE,,50000
3,P,166756,CIGOGNOLA ,PV,50000
3,S,224728,MILANO ,MI,50000
3,R,480926,MONTERONI D ARBIA ,SI,50000
3,S,182139,MONFALCONE ,GO,50000
3,T,150085,ORTA DI ATELLA ,CE,50000
3,D,119183,BOLOGNA ,BO,50000
3,A,467555,MODENA ,MO,50000
3,L,086138,DISTRIBUTORE LOCALE ROMA ,RM,50000
3,R,225972,AREZZO ,AR,50000
3,M,114512,SETTIMO TORINESE ,TO,50000
3,E,416029,MILANO ,MI,50000
3,A,130487,DISTRIBUTORE LOCALE ORVIETO ,TR,50000
3,L,012086,DISTRIBUTORE LOCALE LACCHIARELLA ,MI,50000
3,M,325035,TERLIZZI ,BA,50000
3,G,115853,ROMA ,RM,50000
3,B,044418,DISTRIBUTORE LOCALE BERCETO ,PR,50000
3,D,400957,GALLICANO NEL LAZIO ,RM,50000
3,L,317618,RIMINI ,RN,50000
3,S,168154,NAPOLI ,NA,50000
3,N,107783,BENTIVOGLIO ,BO,50000
3,T,111407,GIUSSANO ,MB,50000
3,M,331007,PALERMO ,PA,50000
3,O,204982,MANTOVA ,MN,50000
3,M,334431,CASALECCHIO DI RENO ,BO,50000
3,AA,332493,RIVENDITORE ONLINE,,50000
3,R,396533,LONATO DEL GARDA ,BS,50000
3,I,309460,MILANO ,MI,50000
3,B,489578,LECCO ,LC,50000
3,Q,144614,OSIO SOPRA ,BG,50000
3,C,429417,QUARTO ,NA,50000
3,I,45735,ODERZO ,TV,50000
3,F,422767,FIRENZE ,FI,50000
3,A,153253,DISTRIBUTORE LOCALE ACQUAVIVA DELLE FONTI ,BA,50000
3,L,428347,VILLAFRANCA TIRRENA ,ME,50000
3,E,32176,DISTRIBUTORE LOCALE ANDRIA ,BT,50000
3,M,325384,SCAFATI ,SA,50000
3,E,290218,IMOLA ,BO,50000
3,M,308922,PERUGIA ,PG,50000
3,S,216034,ANAGNI ,FR,50000
3,N,221932,SAN GIORGIO A CREMANO ,NA,50000
3,D,192247,BARILE ,PZ,50000
3,T,151126,MILLESIMO ,SV,50000
3,C,375767,POMPEI ,NA,50000
3,P,319570,MORI ,TN,50000
3,A,472983,FUCECCHIO ,FI,50000
4,P,393145,CORIGLIANO ROSSANO ,CS,20000
4,B,341438,GENOVA ,GE,20000
4,R,385148,PIETRAVAIRANO ,CE,20000
4,N,467188,GENOVA ,GE,20000
4,D,206837,SOAVE ,VR,20000
4,T,064967,PIEVE SANTO STEFANO ,AR,20000
4,Q,300683,TORRE DEL GRECO ,NA,20000
4,B,023643,DISTRIBUTORE LOCALE VECCHIANO ,PI,20000
4,N,352312,ROMA ,RM,20000
4,A,225423,SASSARI ,SS,20000
4,I,007690,DISTRIBUTORE LOCALE ROMA ,RM,20000
4,C,120643,CRISPANO ,NA,20000
4,F,105193,ALLUMIERE ,RM,20000
4,I,117108,GALATINA ,LE,20000
4,B,429461,FIRENZE ,FI,20000
4,T,194134,CIVITELLA D'AGLIANO ,VT,20000
4,A,187499,DISTRIBUTORE LOCALE TORTORETO ,TE,20000
4,I,424436,SESTO SAN GIOVANNI ,MI,20000
4,N,164641,VAREDO ,MB,20000
4,T,478774,TORINO ,TO,20000
4,M,355049,TORINO ,TO,20000
4,L,439043,RICCIONE ,RN,20000
4,G,178758,BASTIA UMBRA ,PG,20000
4,I,163257,ORVIETO ,TR,20000
4,E,444488,ACQUAVIVA DELLE FONTI ,BA,20000
4,T,221203,DESIO ,MB,20000
4,M,222526,FERRARA ,FE,20000
4,S,456187,VASTO ,CH,20000
4,O,39680,DISTRIBUTORE LOCALE ROMA ,RM,20000
4,G,42116,CATANIA ,CT,20000
4,A,205419,TEANO ,CE,20000
4,D,459766,MILANO ,MI,20000
4,Q,17327,DISTRIBUTORE LOCALE FABRO ,TR,20000
4,B,28105,DISTRIBUTORE LOCALE POLIGNANO A MARE ,BA,20000
4,F,171310,NOVARA ,NO,20000
4,R,427000,VALMONTONE ,RM,20000
4,Q,304862,ROMA ,RM,20000
4,E,176146,VIBO VALENTIA ,VV,20000
4,O,404522,PALESTRINA ,RM,20000
4,R,213333,ODERZO ,TV,20000
4,I,114969,SCISCIANO ,NA,20000
4,F,145263,NOCERA UMBRA ,PG,20000
4,N,380966,BOLOGNA ,BO,20000
4,C,159069,RIMINI ,RN,20000
4,AA,146053,RIVENDITORE ONLINE,,20000
4,E,274925,CAMPIGLIA MARITTIMA ,LI,20000
4,G,201898,TERNI ,TR,20000
4,G,282916,SIRACUSA ,SR,20000
4,I,264286,LAVELLO ,PZ,20000
4,O,460171,CIRIÈ ,TO,20000
4,T,150563,TAORMINA ,ME,20000
4,T,218243,CASTIONE ANDEVENNO ,SO,20000
4,S,346327,CESENATICO ,FC,20000
4,P,191303,SALA CONSILINA ,SA,20000
4,L,244752,CAMPI BISENZIO ,FI,20000
4,P,279098,MERANO ,BZ,20000
4,E,473454,NUMANA ,AN,20000
4,I,394717,CORMANO ,MI,20000
4,E,464891,CASTELFORTE ,LT,20000
4,R,124888,MILAZZO ,ME,20000
4,T,336904,GUIDONIA MONTECELIO ,RM,20000
4,R,211535,ROMA ,RM,20000
4,D,223036,ROMA ,RM,20000
4,O,244511,CIVITAVECCHIA ,RM,20000
4,U,195814,BAGNOLO CREMASCO ,CR,20000
4,D,11121,DISTRIBUTORE LOCALE ROMA ,RM,20000
4,R,376119,MILANO ,MI,20000
4,P,203433,MASSA ,MS,20000
4,C,121414,PIOMBINO ,LI,20000
4,R,12826,DISTRIBUTORE LOCALE ROMA ,RM,20000
4,R,296645,SAN VITTORE OLONA ,MI,20000
4,T,293112,MILANO ,MI,20000
4,P,29328,DISTRIBUTORE LOCALE CASTELNUOVO SCRIVIA ,AL,20000
4,Q,290327,CESENA ,FC,20000
4,I,408441,DOLO ,VE,20000
4,M,288367,CATANIA ,CT,20000
4,C,457303,ROMA ,RM,20000
4,B,15936,DISTRIBUTORE LOCALE ROMA ,RM,20000
4,O,334326,COMACCHIO ,FE,20000
4,A,99000,ALTOFONTE ,PA,20000
4,Q,268826,SIMAXIS ,OR,20000
4,I,159032,ANAGNI ,FR,20000
4,O,325399,GIOVE ,TR,20000
4,A,175078,DISTRIBUTORE LOCALE MISANO ADRIATICO ,RN,20000
4,R,371110,OLEGGIO ,NO,20000
4,G,135911,MILANO ,MI,20000
4,A,107166,DISTRIBUTORE LOCALE SANTARCANGELO DI ROMAGNA ,RN,20000
4,Q,491433,PALERMO ,PA,20000
4,L,245768,VIGEVANO ,PV,20000
4,D,451539,BARLETTA ,BT,20000
4,D,447435,ZOLA PREDOSA ,BO,20000
4,O,91106,DISTRIBUTORE LOCALE LEGNANO ,MI,20000
4,N,151682,AFFI ,VR,20000
4,M,246170,CASTROCIELO ,FR,20000
4,O,26883,DISTRIBUTORE LOCALE GONARS ,UD,20000
4,R,7176,DISTRIBUTORE LOCALE CASTEL RITALDI ,PG,20000
4,A,236045,VILLAFRANCA DI VERONA ,VR,20000
4,N,79072,DISTRIBUTORE LOCALE AVELLINO ,AV,20000
4,O,283380,PONTE NELLE ALPI ,BL,20000
4,A,252754,MILANO ,MI,20000
4,Q,401091,LUCCA ,LU,20000
4,O,389452,BOTTICINO ,BS,20000
4,B,416543,BARLETTA ,BT,20000
4,I,72524,GENOVA ,GE,20000
4,M,272767,VITERBO ,VT,20000
4,O,443024,PADOVA ,PD,20000
4,T,342085,ROMA ,RM,20000
4,S,292840,VITERBO ,VT,20000
4,A,121181,DISTRIBUTORE LOCALE SESTO FIORENTINO ,FI,20000
4,A,38275,CASTIGLIONE OLONA ,VA,20000
4,D,463722,COMACCHIO ,FE,20000
4,P,450622,MODENA ,MO,20000
4,M,491435,LICATA ,AG,20000
4,Q,4168,DISTRIBUTORE LOCALE SAN GIOVANNI VALDARNO ,AR,20000
4,AA,236741,RIVENDITORE ONLINE,,20000
4,C,423571,CASORIA ,NA,20000
4,E,320015,ANAGNI ,FR,20000
4,L,297051,LEVICO TERME ,TN,20000
4,G,29002,DISTRIBUTORE LOCALE ROMA ,RM,20000
4,E,463331,TARANTO ,TA,20000
4,F,447517,CURTI ,CE,20000
4,A,367279,SAN MARTINO SICCOMARIO ,PV,20000
4,L,258958,CIGLIANO ,VC,20000
4,AA,32180,RIVENDITORE ONLINE,,20000
4,Q,410348,ALVITO ,FR,20000
4,R,35753,SEGRATE ,MI,20000
4,I,485883,VENEZIA ,VE,20000
4,O,423504,CERNUSCO SUL NAVIGLIO ,MI,20000
4,S,293307,FAGAGNA ,UD,20000
4,D,120946,BARI ,BA,20000
4,L,176197,ROSETO DEGLI ABRUZZI ,TE,20000
4,B,331751,TORRICELLA VERZATE ,PV,20000
4,F,220576,GENOVA ,GE,20000
4,A,320999,SAN SALVATORE DI FITALIA ,ME,20000
4,B,212865,ROMA ,RM,20000
4,U,1334,DISTRIBUTORE LOCALE ROMA ,RM,20000
4,P,185330,CIVITELLA IN VAL DI CHIANA ,AR,20000
4,L,278239,LUCIGNANO ,AR,20000
4,B,388039,CALVI DELL UMBRIA ,TR,20000
